1900227000+1000,2023-05-14T15:18:02.238Z,2023-05-14T15:18:02.272Z
1900226000+1000,2023-05-14T15:18:02.236Z,2023-05-14T15:18:02.274Z
1900228000+1000,2023-05-14T15:18:02.255Z,2023-05-14T15:18:02.281Z
1900229000+1000,2023-05-14T15:18:02.273Z,2023-05-14T15:18:02.310Z
1900230000+1000,2023-05-14T15:18:02.279Z,2023-05-14T15:18:02.312Z
1900231000+1000,2023-05-14T15:18:02.281Z,2023-05-14T15:18:02.317Z
1900232000+1000,2023-05-14T15:18:02.310Z,2023-05-14T15:18:02.349Z
1900234000+1000,2023-05-14T15:18:02.317Z,2023-05-14T15:18:02.361Z
1900233000+1000,2023-05-14T15:18:02.315Z,2023-05-14T15:18:02.369Z
1900235000+1000,2023-05-14T15:18:02.349Z,2023-05-14T15:18:02.386Z
1900236000+1000,2023-05-14T15:18:02.361Z,2023-05-14T15:18:02.394Z
1900237000+1000,2023-05-14T15:18:02.369Z,2023-05-14T15:18:02.402Z
1900238000+1000,2023-05-14T15:18:02.386Z,2023-05-14T15:18:02.422Z
1900239000+1000,2023-05-14T15:18:02.394Z,2023-05-14T15:18:02.426Z
1900240000+1000,2023-05-14T15:18:02.402Z,2023-05-14T15:18:02.447Z
1900242000+1000,2023-05-14T15:18:02.426Z,2023-05-14T15:18:02.454Z
1900241000+1000,2023-05-14T15:18:02.422Z,2023-05-14T15:18:02.461Z
1900243000+1000,2023-05-14T15:18:02.447Z,2023-05-14T15:18:02.486Z
1900244000+1000,2023-05-14T15:18:02.454Z,2023-05-14T15:18:02.488Z
1900245000+1000,2023-05-14T15:18:02.461Z,2023-05-14T15:18:02.498Z
1900246000+1000,2023-05-14T15:18:02.487Z,2023-05-14T15:18:02.512Z
1900247000+1000,2023-05-14T15:18:02.488Z,2023-05-14T15:18:02.518Z
1900248000+1000,2023-05-14T15:18:02.498Z,2023-05-14T15:18:02.534Z
1900249000+1000,2023-05-14T15:18:02.512Z,2023-05-14T15:18:02.547Z
1900250000+1000,2023-05-14T15:18:02.519Z,2023-05-14T15:18:02.552Z
1900251000+1000,2023-05-14T15:18:02.534Z,2023-05-14T15:18:02.570Z
1900252000+1000,2023-05-14T15:18:02.548Z,2023-05-14T15:18:02.573Z
1900253000+1000,2023-05-14T15:18:02.553Z,2023-05-14T15:18:02.588Z
1900254000+1000,2023-05-14T15:18:02.570Z,2023-05-14T15:18:02.604Z
1900255000+1000,2023-05-14T15:18:02.573Z,2023-05-14T15:18:02.605Z
1900256000+1000,2023-05-14T15:18:02.589Z,2023-05-14T15:18:02.624Z
1900257000+1000,2023-05-14T15:18:02.604Z,2023-05-14T15:18:02.639Z
1900258000+1000,2023-05-14T15:18:02.607Z,2023-05-14T15:18:02.657Z
1900260000+1000,2023-05-14T15:18:02.640Z,2023-05-14T15:18:02.673Z
1900259000+1000,2023-05-14T15:18:02.624Z,2023-05-14T15:18:02.683Z
1900261000+1000,2023-05-14T15:18:02.657Z,2023-05-14T15:18:02.692Z
1900262000+1000,2023-05-14T15:18:02.673Z,2023-05-14T15:18:02.708Z
